r_object_id,object_name,modified_from,letter_subject,acl_name,status,letter_category,completion_date,letter_number
0802cba08350d8d5,4240-2024-25,Pratik Khelani,"Handing over of IWMS project to village Watershed Committee by CSPC, Talaja",letter_acl,In Process,Actionable,"09/09/2024, 11:31:12 AM",4240/2024-25
0802cba082e1599d,4240-2024-25,Vishal Sharma,"Handing over of IWMS project to village Watershed Committee by CSPC, Talaja",letter_acl,Assigned Head,Actionable,"01/05/2024, 3:11:46 PM",4240/2024-25
0802cba082e15835,4240-2024-25,Vishal Sharma,"Handing over of IWMS project to village Watershed Committee by CSPC, Talaja",letter_acl,Unread,Actionable,"01/05/2024, 3:07:58 PM",4240/2024-25
0802cba08424f48a,4240-2024-25,Pratik Khelani,"Handing over of IWMS project to village Watershed Committee by CSPC, Talaja",letter_acl,Closed,Actionable,"22/11/2024, 12:49:29 PM",4240/2024-25
0802cba0833f81e5,4240-2024-25,Hanuman Singh Bundel,"Handing over of IWMS project to village Watershed Committee by CSPC, Talaja",letter_acl,Assigned,Actionable,"21/08/2024, 6:17:48 PM",4240/2024-25
0802cba082e1599b,4240-2024-25,Vishal Sharma,"Handing over of IWMS project to village Watershed Committee by CSPC, Talaja",letter_acl,Opened,Actionable,"01/05/2024, 3:11:46 PM",4240/2024-25
