r_object_id,object_name,modified_from,letter_subject,acl_name,status,letter_category,completion_date,letter_number
0802cba082e16cd0,4263-2024-25,Pawan Kumar Gupta,declaration of holiday under NI act on 20 May 24,letter_acl,Unread,Information,"01/05/2024, 4:55:06 PM",4263/2024-25
0802cba08310c459,4263-2024-25,Shri Bendang Aier,declaration of holiday under NI act on 20 May 24,letter_acl,Opened,Information,"06/07/2024, 5:43:06 PM",4263/2024-25
0802cba08310c45a,4263-2024-25,Shri Bendang Aier,declaration of holiday under NI act on 20 May 24,letter_acl,Closed,Information,"06/07/2024, 5:43:06 PM",4263/2024-25
