r_object_id,object_name,modified_from,letter_subject,acl_name,status,letter_category,completion_date,letter_number
0802cba082e5a135,4267-2024-25,Shri S S Vaseeharan,declaration of holiday under NI act on 20 May 24,letter_acl,Opened,Information,"07/05/2024, 2:52:11 PM",4267/2024-25
0802cba082e5a136,4267-2024-25,Shri S S Vaseeharan,declaration of holiday under NI act on 20 May 24,letter_acl,Closed,Information,"07/05/2024, 2:52:11 PM",4267/2024-25
0802cba082e16cd4,4267-2024-25,Pawan Kumar Gupta,declaration of holiday under NI act on 20 May 24,letter_acl,Unread,Information,"01/05/2024, 4:55:06 PM",4267/2024-25
